Full Video,Videoclip,Label
https://youtu.be/d-t-pVe-LCs," [8, 14]",e3
https://youtu.be/d-t-pVe-LCs,"[31, 37]",e3
https://youtu.be/r3MlUA0qkiQ,"[33, 37]",e3
https://youtu.be/r3MlUA0qkiQ,"[41,46] ",e1
https://youtu.be/r3MlUA0qkiQ,"[56,58] ",e2
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[73,79]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[80,85] ",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[119,124] ",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[151,158]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[174,183]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[202,222] ",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[229, 233]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[235,241]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[265,269]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[306,309]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[309,312]",e1
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[344,347]",e1
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[365,370]",e1
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[389,395]",e2
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[426,438]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[463,476]",e0
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[477,480]",e4
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[481,491]",e1
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[491,501]",e1
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[501,511]",e1
https://www.youtube.com/watch?v=RTUCmTbPQfo,"[511,525]",e1
https://www.youtube.com/watch?v=IqhXZK8jrzs,"[12,17]",e0
https://www.youtube.com/watch?v=IqhXZK8jrzs,"[35,39]",e1
https://www.youtube.com/watch?v=IqhXZK8jrzs,"[52,55]",e3
https://www.youtube.com/watch?v=IqhXZK8jrzs,"[67,70]",e2
https://www.youtube.com/watch?v=O8MQV40pOtk,"[6,9]",e1
https://www.youtube.com/watch?v=O8MQV40pOtk,"[9,11]",e3
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[309,312]",e1
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[312,315]",e1
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[318,320]",e0
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[324,326]",e0
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[333, 339]",e0
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[1092,1095]",e0
https://www.youtube.com/watch?v=UM-Q_zpuJGU,"[1107,1111]",e0
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[236,241]",e1
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[243,247]",e3
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[251,253]",e2
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[257,262]",e1
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[270,280]",e0
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[283,287]",e0
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[343,347]",e2
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[371,374]",e0
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[377,381]",e3
https://www.youtube.com/watch?v=CPEhNYFA0DU,"[390,397]",e1
https://www.youtube.com/watch?v=YOVe3SpCutg,"[10,13]",e3
https://www.youtube.com/watch?v=YOVe3SpCutg,"[334,344]",e0
https://youtu.be/8IqpUK5teGM,"[14,27] ",e3
https://youtu.be/FfcqS0j2yxY,"[27,42]",e0
https://youtu.be/FfcqS0j2yxY,"[27,42]",e4
https://youtu.be/ykkjbext-Cw,"[0,6]",e4
https://youtu.be/Os3y5ryAjSE,"[93,102]",e1
https://youtu.be/Os3y5ryAjSE,"[93,102]",e0
https://youtu.be/2Qw0Na6DbSs,"[0,19]",e2
https://youtu.be/2Qw0Na6DbSs,"[0,19]",e4
https://youtu.be/NJd-j05Oc7c,"[75,80] ",e0
https://youtu.be/NJd-j05Oc7c,"[115,120] ",e0
https://youtu.be/NJd-j05Oc7c,"[126,130]",e0
https://youtu.be/X93Xz6RqEag,"[410,413]",e1
https://youtu.be/X93Xz6RqEag,"[415,419]",e0
https://www.youtube.com/watch?v=g-rVc5XLTJU,"[178,185]",e1
https://www.youtube.com/watch?v=JSvxAwsOgCM,"[110,115]",e5
https://www.youtube.com/watch?v=JSvxAwsOgCM,"[110,115]",e0
https://www.youtube.com/watch?v=rt841RBIBGw,"[85,93]",e0
https://www.youtube.com/watch?v=rt841RBIBGw,"[85,93]",e1
https://www.youtube.com/watch?v=rt841RBIBGw,"[95,98]",e1
